"text","label","notes"
"england missed so many chances but theyll always have talent","Reaction/Opinion",""
"Not Argentina, unfortunately Ghana's lack of experience ultimately didn't let them get away with a win but they were so close.","Analysis/Explanation",""
"Hungary… they’ll never be as close as they once were","Reaction/Opinion",""
"The Robben dive, which kind of stopped Mexico from getting the opportunity to advance. I think Mexico could’ve beaten Costa Rica, if they went into the quarters. Feels like a missed opportunity in some ways.","Analysis/Explanation","Ambiguity: reacted to past and added a past conditional rather than present so not present prediction"
"I think the current players are better and the golden generation weren't even a top 5 squad at the 02 world cup","Reaction/Opinion",""
"It isn’t complex. It’s just ridiculous to say it’s a missed opportunity after going out in the groups. All of your examples do not fit the argument as they qualified from the group. In 02 Argentina didn’t. Therefore it is not a missed opportunity if you are out 4 games before the end. Otherwise every single team had a missed opportunity.","Analysis/Explanation",""
"Just like USA vs Italy in 2006. Italy beat everyone they played that tournament except for the US","Analysis/Explanation",""
"He was in his prime in 2014 and he still couldn’t single-handedly pull Portugal past the US even. Best he could do was a miraculous last-second assist for an equalizer.","Analysis/Explanation",""
"He was counting you two","Reaction/Opinion",""
"They also cheated to beat Mexico.","Reaction/Opinion",""
"That's the simple result of having the richest league and the majority of their players playing in that league. I'm sure if you work out which national team had the highest paid players in the 90s it'd be Italy, for example","Reaction/Opinion",""
"Nah, there were different eras. WC semis in 1990, Euros at home in 96. Absolutely amazing line up from 2000-2006 that achieved nothing","Analysis/Explanation",""
"I mean englands team right now should have enough firepower to win the World Cup. Kane, Saka, Jude, rice, Palmer, mls, Trent, walker, foden…","Prediction",""
"Why are we so desperate to defend Suarez? I would assume that we aren't. At least personally I don't care about Suarez but this is about the situation itself and the definition of cheating in football. That's what I care about. I wouldn't call anyone a cheater for doing what Suarez did. Not because it's Suarez though.","Reaction/Opinion",""
"England vs. Germany and Germany vs. England aren't situations about cheating. That was just wrong decisions by the referee. It's not like the scorers of these goals willfully tried to deceive the referee there.","Analysis/Explanation",""
"It is being taught that you commit a tactical foul if needed","Analysis/Explanation",""
"Just watched that again because that was never in discussion but he's right. Appiah was offside","Analysis/Explanation",""
"I saw it live. Man it was such a game. Spain was 3 and Portugal was 2. It was at the end of the game. Man there was so much pressure on the man. And all the Messi fans were here in my country of Bangladesh were making fun of him. I was cutting my hair and the game was on. And then he scored and the entire crowd in the barber shop went silent. CR7 became my favorite that day.","Reaction/Opinion",""
"Argentina lost one game in 2002. That’s it. The same number of losses they had in 2022 and Spain in 2010. (Both were eventually Champions). Italia drew all 3 games in their group and ended up being champions in 1982. I know it is a very complex concept.","Analysis/Explanation",""
"We’re not talking about 2022 are we? How the fck are you comparing losing a game and going onto win with going out in the group stage? So when England are ranked 3 for example, that’s a joke and they’ve had 0 opportunities, but being ranked 1 and failing is a missed opportunity? Yh, ok…","Analysis/Explanation",""
"Argentina lost to Saudi Arabia in 2022. It was eventually the Champion. Do you understand the concept of a team being capable/ deserving of winning and losing a game in a 7 game tournament? Argentina 2002 or 1994 could have won a 20 game tournament. That’s also true for Belgium and the Netherlands and Brazil at a point in time","Analysis/Explanation","Rule to be implemented: past predictions must be treated as analysis"
"Oh sorry, I mentioned the word England. Forgot about the downvoting that follows that word 😂.","Reaction/Opinion",""
"The players in Englands golden generation were, man for man, awesome but they couldn't put aside club rivalries to play together. Yes you can argue that maybe they didn't have a world class 6 but what they really struggled with was having a ruthless manager who picked the best team rather than the best 11 players and fostering a mentality of self sacrifice.","Analysis/Explanation",""
"They went out in the groups. Not exactly a wasted opportunity is it? Honestly, what happens here is. Team is ranked high, performs badly = Missed opportunity. England ranked high, performs badly = Overrated, rubbish, lololol. It’s quite pathetic, but expected.","Reaction/Opinion",""
"Argentina 2002 was #1 in FIFA ranking and obliterated everyone in the year prior to the World Cup.","Analysis/Explanation",""
"As long as that’s directed at your team I’m happy 😊","Reaction/Opinion",""
"World Cup organizers tab Houston's East Downtown (EaDo) neighborhood for 2026 fan fest","Reaction/Opinion",""
"Sike. They are much better off without him. Have him coach if he’s so experienced.","Reaction/Opinion",""
"Of course you can say that, but I didn't make the claim, you did, and wtf is that last sentence? Oh and I don't really care much, just like debating idiots on the Internet and you fit the profile","Reaction/Opinion",""
"Why do you care so much exactly? You could say the same for every national team that hasn’t won the trophy but either way none of those teams are going to give up You obviously won’t be alive when it happens so yeah","Reaction/Opinion",""
"Long may it continue 🏴󠁧󠁢󠁳󠁣󠁴󠁿","Reaction/Opinion",""
"And who can afford it","Reaction/Opinion",""
"I said he is a disgusting individual. Not recoiling from that","Reaction/Opinion",""
"Funny thing is that they never lost a single match when they played together.","Reaction/Opinion",""
"Thats a very different goal, at a much smaller stage. R9 is great, but this is a terrible example. Pele's attempt is impressive because he got the goalie out of play without even touching the ball.","Analysis/Explanation",""
"We're talking about the Ghana incident here. Theres plenty of people who like to shit on Suarez because of the Ghana game specifically, but would be supportive of similar actions if it was a player for their teams benefit.","Analysis/Explanation",""
"The USMNT is never going to win the world Cup, how does it not compute with the support, there are a handful of countries who have a better chance and have never won, the tournament happens every 4 years, how the hell do you think they would have a better chance than anybody else? You say Japan is planning to win by 2050, that's 7 world cups to win one of them, you really think Japan is going to be better than the rest of the world any of those ONLY 7 times?","Reaction/Opinion","Reaction to a prediction"
"Erm - the Evra incident? Get real!!!!","Reaction/Opinion",""
"Which is an absolutely shocking answer. Argentina missed their chance during 98-06? They didn’t even get out of the groups in 02. It’s funny how the word England gets some so riled up though.","Reaction/Opinion",""
"You are trying to characterise Suarez as having played within the rules? You’re not a serious person.","Reaction/Opinion",""
"The Dutch in 2014. They kind of ran out of steam as they tried to get past Costa Rica on penalties in the quarters, and fell to Argentina in another penalty shootout. Similar to Qatar 2022, they just can’t get past Argentina.","Analysis/Explanation",""
"I think 2002 and 06 were the missed opportunities for the Beckham era England. Since then, it’s really been 2020/21 Euro as the missed opportunity. Euro 24 we were awful and Spain deserved to win it all.","Analysis/Explanation",""
"I agree with Belgium 2018. Had it not been for France in the semis, Belgium would have won that tournament and probably beaten Croatia","Analysis/Explanation",""
"Anyone who calls Suarez (or any other player who commits a red card offence to preserve his teams position at the end of the match) a disgusting individual or whatever is an absolute hypocrite and would called it smart play or whatever if it benefited their team.","Reaction/Opinion",""
"They were still amongst the favourites at 2002. Maybe not clear favourites, but in the discussion with France and maybe England/Italy.","Reaction/Opinion",""
"2002 might have been a better opportunity for us if the tournament was hosted somewhere where matches weren't being played in 30+degC heat, and Gerrard hadn't been injured.","Analysis/Explanation",""
"Fully agree. A world cup happening every 4 years, and only 3 games deciding if you're going through to the main round... Tournament football is random. In tennis, you have the 4 majors happening every year. In baseball, they call their playoffs random even though one round can last 7 games... On the other hand, that's what makes it the biggest sports competition on the planet.","Analysis/Explanation",""
"In case you hadn't noticed - the ball was going INTO the goal. You should watch another sport. You plainly dont have a clue.","Reaction/Opinion",""
"Not sure what planet you live on","Reaction/Opinion",""
"The last goal and a couple of others in there, not in the world cup but it's outright wrong to say nobody else has done it","Reaction/Opinion",""
"For his time he was the best","Reaction/Opinion",""
"These days with VAR it wouldn't have been a penalty or a red card because Ghana were offside before the shot, so justice was done...","Analysis/Explanation",""
"Yes and if the World Cup wasn’t expanded that roster might have not even qualified","Analysis/Explanation",""
"Alisson - Ederson Marquinhos - Gabriel - Eder Militão - Murillo Casemiro - Gerson - Bruno Guimarães Raphinha - Vini Jr - Rodrygo - Martinelli Not counting how Endrick and Estevão will develop over next season. Not the Brazil of old, but most of those players would still have a spot on the starting lineup of 95% of the national teams that will be playing the World Cup.","Prediction",""
"2030. Endrick, Estevão, more mature Vini Jr and Rodrygo, Raphinha will be 32, Gerson 31, more time to refill a couple positions. Don't worry. But even then, I wouldn't outright disregard us in 2026 before checking what Ancelotti can do with the material we have at disposal now.","Prediction",""
"Every big football nation missed an opportunity at some point. That’s what football is about! you always have 2-3 favourites and there can only be one winner. So it will create a missed opportunity for the 2 others. Most of them lost at least a final (except Uruguay, England and Spain - the last 2 only played in 1 final though)","Reaction/Opinion",""
"I will reiterate what I've said in some previous comments... Bare minimum, any prospective World Cup host now need to have: - 14-20 host stadiums - Each of those stadiums needs at least 40,000 seats - At least 2-4 of those stadiums need at least 60,000 seats to be able to host matches from the Quarterfinals onward - At least 1 of those stadiums needs at least 80,000 seats to host the Opening Ceremony and the Final Eden Park in New Zealand has a capacity of 50,000. Every other stadium in New Zealand has less than 40,000. In fact, the four other major stadiums they have are all between 30,000-35,000. No other stadium in OFC comes remotely close. Aloha Stadium in Hawaii also has 50,000. California has maybe 7 total stadiums that would fit the bill. One in Oregon, three in Washington. In other words, to make this even remotely feasible, either New Zealand would have to upgrade at least one or two of their existing stadiums to meet FIFA requirements, and/or construct a brand new larger capacity stadium, and/or another OFC nation needs to construct a stadium that meets FIFA's requirements, and/or Hawaii/California/Oregon/Washington would need to construct one or two brand new larger capacity stadium(s)/upgrade a smaller stadium to meet FIFA requirements. 2038 is certainly far enough away that if this was a serious endeavor, that it could be done, but it would still be a massive undertaking. I just don't see OFC ever having the finances or the resources to ever host a World Cup within our lifetime.","Prediction",""
"I know , obviously the USA will get better with more time and development Saying never is wrong, you want them to just give up Japan aren’t giving up , they have a plan to win the trophy by 2050","Analysis/Explanation","Ambiguity: User is not predicting but stating another team's goals"
"Yeah I get it but we did host games across the US in 1994 and we’re doing it next year. There wasn’t an issue then and there won’t be this time around.","Prediction",""
"They wouldnt have pass through that Netherlands team, but it would be nice to witness them getting to a semi final, I’ll forever hate that rat suarez for doing what he did","Reaction/Opinion",""
"Well here’s the other half of world festival: Asia Pacific teams would find it far to go to New York or Miami. LA is closer for them. And the organizers are aware of this problem. This is why in 2026 the groups are geographically aligned including early knockouts up to quarterfinals. And sure the US may be a common host because of FIFA’s demands but that means we have to wait eight years for us to host again.","Analysis/Explanation","Ambiguous: Not sure between analysis and prediction but going to classify as analysis"
"I disagree with the USA , it will happen eventually You saying never does not compute especially in the sport","Prediction",""
"England has had a number of close shaves when they were good enough to do it. I think that's largely what bringing in Teuchel is about: their FA is doing their damnedest not to repeat that experience when they have Bellingham, Rice, Saka, Rogers, Palmer, and Kane still has his scoring boots on. On a much lower level, the US is not going to win the World Cup and probably never will, but they shat the bed big-time in the last Copa America, and I think they're trying to do the same thing with Poch -- rescue a (relative) golden generation that is threatening to go by the wayside without doing anything remarkable. I'm not entirely certain that either of these experiments is likely to yield results, by the way: the most successful international cup managers of the last decade or so are Didier Duchamps and Gareth Southgate. Notably, neither of them has show any interest in playing beautiful, progressive football. I think there's an argument to be made that beautiful, progressive football is not the best way to win on the international stage, and that England's ""failures"" of the last few years more or less come down to bad luck, not bad management.","Prediction",""
"Which national team missed or is missing their window of opportunity to win the World Cup besides the Dutch and why ? Honestly there’s so many interesting answers again besides the Dutch, we all know about them getting to 3 finals and not winning it My choice is Belgium 2018 and Croatia in 2018/2022 Both teams were close but France and Argentina were just too strong for them I would also say Portugal with Ronaldo but as a team it’s probably 2030 / 2034 maybe , Portugal has so much talent but they aren’t as big as many other big teams unfortunately England are another team that has missed many chances to maybe add to their collection but missed out on There might be others from other confederations but I’ll you people talk about them and if you agree with me or not","Analysis/Explanation",""
"What kind of logic is that? I’m saying if we are going to go back to the US so often then dedicate it to regions And your point about it being fair on it cutting you off makes no sense as it can be argued for any location you put a World Cup The beauty of the World Cup is that it’s a celebration of football and brings people together if we keep putting it all over the US then the Spanish fans will end up further away from the Morocco fans then they would be if they stayed at home You seem to have little understanding of the idea of it being a festival of football which","Question",""
"The US is a big country and whenever we have big sporting events they have to be national. I live in LA and your idea would exclude me and millions of other people. Is it fair to cut off one half of the country so that “you don’t have to travel far (which you don’t, you’ll just be in one area anyways)”?","Question",""
"My bet is that they'll change the rules and go back to Europe for 2038.","Prediction",""
"WWC and U-20 have lower stadium requirements, so we've host (at least partially) both. The 48 teams thing is ridiculous (even most so that the men's as there is not the quality) and any bid we make will probably have to be with Australia.","Analysis/Explanation",""
"Ok well whine hard then lol. For all the negative nancys I'll be the one person excited.","Reaction/Opinion",""
"Yeah, I’m kinda in doubt on what I’ll be doing cause I really just want to watch my nations game so don’t know if the draw would be a good choice for me!","Reaction/Opinion",""
"East Asia, Southeast Asia and Oceania will be one with 33 members Central Asia, West Asia, Southeast Asia and North Africa would be another with 30","Prediction",""
"'So much at stake': Club World Cup will bring some of the best in soccer to South Florida","Prediction",""
"Yeah. 2026 is already dealing with a large geographic area, and they're basically podding matches in the Group Stage, while scheduling the bracketing in the Knockouts Stage to accommodate for this, so something similar would have to be implemented in this scenario, but with the vastness of the Pacific Ocean, that would be an even more daunting task than in 2026.","Analysis/Explanation","Really difficult boundary to place since it reads like a prediction but isnt actually predicting anything"
"OK i'm bored now. Time will tell whether you are right or not.","Prediction",""
"Unfortunately, it's the requirements for hosting a World Cup that limits which nations are capable of solo hosting now. 14-20 stadiums, each with at least 40,000 capacity, plus at least 2-4 of which with a minimum of 60,000 to host matches beyond the Round of 16, plus at least one with a minimum capacity of 80,000 to host both the Opening Ceremony and the Final, plus all the other logistical infrastructure around all the hosting venues such as travel and accommodation, training facilities, etc. The USA can basically handle all of that on its own with minimal additional costs but brought in Mexico and Canada into its initial bid to beat Morocco in order to host in 2026 (but won't have to in 2038 given host rotation rules). Aside from the USA, there's probably only the so called big five European countries (England, Spain, Italy, Germany, France) that could also solo host a World Cup now, and beyond that, probably only South Africa (with a fair amount of upgrades across the board) and China could currently handle solo hosting a World Cup. As such, co-hosting gigs between at least two or three nations is going to become far more common place purely out of necessity, as even just having 14 stadiums that meet all of FIFA's requirements is a steep ask for any one nation in most cases.","Prediction",""
"It's the hosting rotation. Once (a) nation(s) are selected to host a World Cup, the confederation(s) they are within are ineligible to bid for the next two editions thereafter. CONCACAF in 2026, CONMEBOL, UEFA and CAF in 2030, AFC in 2034, so the only confederations eligible to let their nations bid for 2038 would be CONCACAF and OFC. Given the logistics, finances, and infrastructure required to host a World Cup, the USA are the only CONCACAF nation that can solo host a World Cup, and so if any other nations in CONCACAF were to host, they would have to do so as co-hosts with the USA. In OFC, none of the nations therein, not even New Zealand, come close to meeting requirements to host a World Cup, so a lot of investments would need to be made to allow them to host. Conceivably, a joint bid with the USA is possible but would present a lot of challenges.","Analysis/Explanation","Another difficult boundary between majority of the text being prediction but spirit of the text is analytic in nature"
"New Zealand and Australia will probably never host. The US has such a big market and whole I wish they could, it would turn off many viewers. For reference, I am writing at 1p EST ( New York time) and it's 5a Sunday in new Zealand. It would be difficult to watch for most of the world.","Prediction",""
"countries should just skip the 2026 world cup.","Reaction/Opinion",""
"I think the issue is that FIFA tied their rules into knots to hand the 2034 WC to Saudi Arabia and now there's like... nobody who can host 2038. By current rules (you can't bid if your Confederation hosted one of the previous 2) only OFC and CONCACAF can bid. But USA/Mexico/Canada are hosting in 2026 so it would be weird for them to host again so soon, nobody else in CONCACAF can host, and with Australia in AFC, OFC can't host by themselves.","Prediction",""
"This seems cool. We have a lot of really great cities that will be left out in 26 so we could add Hawaii to this Yeah this would be perfect","Prediction",""
"Scoring against the very best & very worst is actually what every great football player including has done. Against European opposition Pele scored 144 goals, most of which came in “unofficial” games. Like I said, you’re ignorant of football history. If in 30-50 years from now the Super League is invented and young fans declare all UCL goals meaningless will that make Messi & Ronaldo worse as players? In the 1960s these official competitions had little greater value than the tour friendly games he played, it was pretty much all the same. Also the amount of poor teams he faced in these unofficial games is being exaggerated. Peles Goal to game ratio in official games is 757/812 =0.932 In unofficial games it is 524/551 =0.951, if the friendlies were against such weaker opponents, why did he score at essentially the same rate?","Analysis/Explanation",""
"I'm sure the quality of these games will be astounding.","Analysis/Explanation","Sarcastic opinion disguised as prediction"
"They went from 8 teams to 32 in the CWC. The World Cup is going from 24 teams in 1994 to 48 in 2026 to likely 64 soon. Thats on FIFA.","Prediction",""
"Yeah the whole thing is nobody actually knows what’ll happen here. The UK of course got the Euros and Women’s World Cup so they might actually be able to leverage something this time around.","Prediction",""
"New Zealand considers idea of Trans-Pacific 2038 FIFA World Cup with other Pacific countries and the United States. It seems like FIFA could enforce the rotation policy so New Zealand is now considering doing a co-hosted World Cup with the United States. Other OFC members could join in as well, and for the US, the mainland and Hawaii could be considered. From Los Angeles and San Francisco to Auckland, it's roughly 13 hours but only 9 hours from Honolulu.","Prediction",""
"Let's hope not. If it gets popular in the US they will try to ruin the sport as they have done with their own sport leagues","Prediction",""
"Every single goal is a piece of art, we will rarely see something similar in any World Cup.","Reaction/Opinion",""
"To watch Pelé miss a goal is more interesting than seeing players score a goal nowadays... 👑 (Brazil - Uruguay, 1970 World Cup semi-final) The commentary as well 🔥","Analysis/Explanation",""
"You realize they’ll travel to the US anyway right?","Question",""
"I saw the nations league games and trust me leao was more problematic and shit in the denmark game. He wasnt even passing to anyone that game much. Either than removing ronaldo, they should first fix their defense a bit and improve their chemistry. Things got so bad in the denmark game ronaldo wasnt even getting the ball and had to go the midfield himself to get it. And he nearly converted an imperfect cross in a goal. Portugal needs to first improve their chemistry then you will see how they play.","Analysis/Explanation",""
"Did anyone enjoy or watch captains of the world on Netflix and should there be one for 2026 and why ?","Question",""
"1: Brazil will not win. 2: Veni JR is better than Neymar and deserves a world cup win more than Neymar ever did.","Prediction",""
"I might go to a game at the Rose Bowl because my dad's visiting at the time and I live literally 10 minutes away... If I do, it will probably be the only match I watch 🤷🏻‍♂️","Prediction",""
"if anyone pays attention I won't be.","Reaction/Opinion",""
"I think soccer has plenty of momentum in the US, but it's never going to convert fans of other US sports who've already made up their minds not to follow soccer. And there's lots of them. The problem with this tournament is that everyone sees it's just a moneygrab. And most of these players (European teams anyway) will be at the World Cup anyway. It wouldn't surprise me if, due to a lack of ticket sales (and I really hope that's the case), the club administrators suddenly decide not to bring their top players over.","Prediction",""
"Nothing is impossible. And Im pretty sure if he goes in the final, no sane person will be rooting against him.","Prediction",""
"Honestly I'd like to say that soccer will gain momentum here in the States but the sport has been in a state of ""It'll grow bigger!"" Since the 70s.","Analysis/Explanation",""
"I could not care less, but the sad thing is that FIFA could not care less about me not caring less! They do not care about football fans. They only care about money and money comes from anywhere and everywhere regardless of football fandom. It's a mad scenario when you really stop and look at it all. FIFA believe they are making this amazing, powerful, rich event. The reality couldn't be further from the truth. It's built on greed, casual viewership that will lose interest, cheap sponsors with tired products nobody actually engages with and a scant disregard for player welfare. Football is actually dieing and FIFA are killing it.","Reaction/Opinion",""
"'This is a real game, this is a real competition' - As a precursor to FIFA’s showcase event in 2026, the Club World Cup could change U.S. soccer forever - if anyone pays attention","Prediction",""
"cristiano's amazing free kick goal vs spain in 2018 worldcup","Analysis/Explanation",""
"Well, at the moment, I cannot even imagine something being better than that. I'll tell you what happened in 2022. Christiano Ronaldo had an interview with Piers Morgan. And in the interview, Morgan asks him, imagine its the World Cup Final ... Portugal vs Argentina. You vs Lionel Messi. The score is 2-2. And you kick the winning goal. How does that feel?? This was the DREAM scenario. And what actually happened. World Cup final. Messi has already scored a penalty. But France is back in the game. The score is 2-2. I'm beginning to think, maybe this will NOT happen for Messi after all. We've been here before. Messi has lost in the world cup final before. Maybe I should be happy with him just winning the Golden Boot. The momentum is with France. We go into the Extra Time. Somehow, Messi makes that run and is standing where the ball would bounce off the goal keeper. But the ball comes on his right foot instead of his left. Ofcourse he is not going to kick the winning goal with his right foot, right? No, he does. He gets you that third goal. That winning goal. That Pierce Morgan's dream goal. I go running from my drawing room to my bed room .... shouting ""IT HAPPENED!!! IT HAPPENED!!!"" And i cry ... the tears of joy. And then someone shoots the ball at an Argentina's face. He instinctively goes to defend his face with his elbow. But he's standing in the penalty box. The ref blows his whistle and points at the SPOT. Martinez, the goalie guesses the right direction. But Mbappe's kick is too strong. Its a GOAL again. Its 3-3. France is back in the game. And I cry again. Maybe its not going to happen for Messi after all. The momentum has gone the other way again. I don't know Messi. He does not speak English. I have never understood what he talks, how he thinks. And still I'm crying for him ... twice. And then the penalty shootouts. I've seen Messi miss a penlaty, LIVE, in the staduim, for Argentina in a Cup final before. But he makes it this time. But so does Mbappe. And I'm now thinking - its OK. Messi did his job. Nothing more can be done about this. But his team mates carry him through to the other side. Phew!!! Finally, I see Messi lift the World Cup. From the BEST GAME ever ... to the WORST GAME ever ... to the BEST GAME ever ... to the WORST GAME ever ... to the BEST GAME EVERRRRRRR The last EVERRRRR has to be in all CAPS. Because what will beat this? Can you even imagine? I cannot. First of all, forget the drama ... You'd never have a player like Messi, who you'd be rooting for so hard. And that too for his first WORLD CUP win. And that too when it was most likely going to be his last world cup.","Analysis/Explanation",""
"Heavyweights LAFC and Club América to clash in Los Angeles on 31 May for final FIFA Club World Cup 2025 berth","Analysis/Explanation",""
"After this he missed like 67 in a row, guy literally will not let others take free kicks when he is honestly not that good at them now. Youre 42 mate, leave.","Reaction/Opinion",""
"Ronaldo's insane free kick goal against spain in 2018 worldcup","Analysis/Explanation",""
"Remebered that I never received a ticket refund from WC2022","Reaction/Opinion",""
"Thanks again for the reply, appreciate it. Think i'll just go ahead & buy it (M77) & attempt to deposit $300 as you say. If all goes well, i'll be ecstatic with a guaranteed ticket. Noticed someone posted a youtube vid on here recently explaining how to purchase, so i'll give it a go & hope it works, & works in the UK. There will also be a group game & a last 16 game when im there but i'll be very happy with just the last 32 game. Then if i somehow manage a ticket for one the other 2 between now & then through the lottery, that'll be great/an added bonus.","Reaction/Opinion","Looks like the word ""if"" is throwing off prediction detection"
"To get tickets for the next world cup will be more difficult and expensive than other years, mainly because it is in US. I suggest you wait until the draw and try to buy the ticket directly for the match you want, it will be more expensive and harder to get, even you might have to go in the resale. Everybody wants to watch BRAZIL","Prediction",""
"You have to challenge and win the Jabulani against your adversary. Or else he won't recognize you as his Master.","Analysis/Explanation",""
"2026 can be the better than that you dont know, but I still agree","Reaction/Opinion",""
"Egypt. How have we won 7 AFCONs and qualified for the World Cup just 3 times in our history? My glorious nation will probably qualify this time around, but it’s still shocking to me","Reaction/Opinion",""
"I mean we already know who is hosting 2031 and 2035 for the WWC so much like 2030 and 2034 this is just to say “we all agreed unanimously that these are the hosts”. They’ll probably also announce some tournaments or give updates for 2038 for the men and 2039 for the women.","Prediction",""
"Next FIFA Congress will be on April 30, 2026 in Vancouver Hosts for the 2031 and 2035 FIFA Women's World Cups will be officially confirmed by then.","Analysis/Explanation",""
"My shout too. I don't think they'll win it, but they'll be dangerous if their key players are fit and in form. They've got a good spine to the team, scary forwards and a balanced midfield. I'll be backing them in when I see good odds.","Analysis/Explanation",""
"Kickoff time of Portugal vs Armenia WC qualifier on nov 16? Hi, I’m an American soccer (football) fan and will be in Portugal on nov 16, when Armenia and Portugal play. I’m making plans to watch in a bar since I likely can’t attend in person and want to know what time the game will kickoff. Any thoughts? What time is normal?","Question",""
"I feel that a lot of it comes down to how the draw pans out. Having more teams leads to more representation but also may water down the group stage process slightly leading to more one-sides games. There is also the chance that some who have managed to scrape a win will end up going through to the Last 32. For me, more knockout football is always a good thing and I am glad that they have kept the groups of 4 to keep the final round of matches interesting. You would imagine the European heavyweights will remain the same with Spain and France being particularly strong. Argentina are certainly the form team of South America at the moment but Brazil May find a little rejuvenation under a different manager and Colombia are exciting if they can find some consistency. Japan have performed well in the last few tournaments and are probably the strongest of the Asian teams in terms of having a wider number of players playing regularly at a high level. Contenders from Africa are more wide open but I would be hoping that at least one or two can put it together when it really matters to get through to the later knockout stages at least. I am certainly excited about the prospect of it being held in the USA as 1994 was the first World Cup that I really remember and I have fond memories to look back on.","Prediction",""
